1,Carmelo Anthony,PF,29,NYK,48,48,38.6,9.6,21.4,.448,2.0,4.8,.414,7.6,16.5,.458,6.0,7.1,.844,2.2,6.4,8.6,3.0,1.1,0.7,2.4,2.9,27.1
2,James Harden,SG,24,HOU,44,44,38.4,7.1,16.1,.444,2.0,6.2,.325,5.1,9.9,.518,7.3,8.6,.854,0.9,3.8,4.7,5.3,1.4,0.5,3.7,2.3,23.6
3,Kevin Durant,SF,25,OKC,53,53,38.1,10.3,20.0,.513,2.2,5.3,.418,8.1,14.7,.547,8.5,9.7,.879,0.8,6.9,7.7,5.5,1.4,0.8,3.6,2.3,31.2
4,DeMar DeRozan,SG,24,TOR,49,49,37.8,7.7,18.2,.424,1.0,3.1,.311,6.8,15.1,.447,5.8,7.3,.794,0.8,3.8,4.6,3.9,1.2,0.4,2.2,2.2,22.2
5,Stephen Curry,PG,25,GSW,49,49,37.7,8.5,18.4,.461,3.4,8.3,.409,5.1,10.1,.504,4.1,4.8,.863,0.6,3.8,4.4,9.0,1.7,0.2,4.1,2.7,24.6
6,Chandler Parsons,SF,25,HOU,47,47,37.7,6.5,12.9,.502,1.9,4.7,.397,4.6,8.2,.562,2.2,3.1,.729,0.9,4.6,5.5,3.6,1.1,0.4,1.9,2.3,17.0
7,Klay Thompson,SG,23,GSW,52,52,37.6,6.8,15.8,.432,2.9,7.1,.409,3.9,8.7,.450,1.8,2.3,.792,0.5,2.5,3.0,2.5,1.0,0.5,1.9,3.0,18.3
8,LeBron James,PF,29,MIA,49,49,37.3,9.6,16.8,.572,1.3,3.7,.359,8.3,13.1,.632,5.8,7.7,.755,1.0,5.9,6.9,6.5,1.4,0.3,3.5,1.7,26.3
9,LaMarcus Aldridge,PF,28,POR,52,52,37.0,9.8,21.0,.465,0.0,0.2,.111,9.8,20.8,.468,4.3,5.3,.818,2.4,9.1,11.5,2.8,0.9,1.0,1.8,2.1,23.9
10,John Wall,PG,23,WAS,51,51,36.9,7.1,16.7,.422,1.2,3.6,.323,5.9,13.1,.450,4.5,5.4,.836,0.5,3.9,4.4,8.4,2.0,0.5,3.5,2.5,19.8
11,Jimmy Butler,SG,24,CHI,38,38,36.8,3.8,10.3,.372,1.0,3.6,.274,2.8,6.7,.424,3.7,4.8,.785,1.4,3.6,5.0,2.1,2.0,0.5,1.6,1.4,12.3
12,Arron Afflalo,SG,28,ORL,49,49,36.7,6.8,14.7,.463,1.9,4.4,.426,4.9,10.3,.479,4.1,5.0,.823,0.4,3.7,4.1,3.7,0.6,0.0,2.1,1.8,19.6
13,Monta Ellis,PG,28,DAL,53,53,36.3,7.1,15.4,.463,0.7,2.2,.314,6.4,13.2,.488,4.3,5.4,.800,0.5,2.9,3.4,5.7,1.8,0.3,3.3,2.5,19.2
14,Kevin Love,PF,25,MIN,49,49,36.3,8.3,18.3,.454,2.2,6.1,.364,6.1,12.2,.499,6.9,8.4,.820,3.3,10.0,13.3,3.9,0.9,0.4,2.3,1.9,25.7
15,Kyle Lowry,PG,27,TOR,51,51,36.3,5.5,12.6,.432,2.5,6.3,.389,3.0,6.3,.475,3.3,4.2,.798,1.0,3.4,4.4,7.5,1.6,0.2,2.3,3.3,16.7
16,Gordon Hayward,SF,23,UTA,46,46,36.3,5.7,14.0,.407,1.2,3.8,.310,4.5,10.2,.443,3.7,4.5,.831,1.0,4.6,5.5,5.0,1.4,0.6,2.7,2.1,16.3
